island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex,Decision
Biscoe,41.6,18.0,192,3950,male,Adelie
Dream,36.0,17.9,190,3450,female,Adelie
Biscoe,49.8,16.8,230,5700,male,Gentoo
Dream,46.1,18.2,178,3250,female,Chinstrap
Biscoe,46.1,15.1,215,5100,male,Gentoo
Torgersen,38.6,17.0,188,2900,female,Adelie
Biscoe,42.6,13.7,213,4950,female,Gentoo
Biscoe,46.6,14.2,210,4850,female,Gentoo
Biscoe,49.8,15.9,229,5950,male,Gentoo
Torgersen,38.6,21.2,191,3800,male,Adelie
Biscoe,46.8,16.1,215,5500,male,Gentoo
Biscoe,45.5,15.0,220,5000,male,Gentoo
Dream,36.9,18.6,189,3500,female,Adelie
Dream,49.5,19.0,200,3800,male,Chinstrap
Dream,45.9,17.1,190,3575,female,Chinstrap
Biscoe,35.0,17.9,192,3725,female,Adelie
Biscoe,46.5,14.4,217,4900,female,Gentoo
Torgersen,43.1,19.2,197,3500,male,Adelie
Biscoe,50.4,15.7,222,5750,male,Gentoo
Dream,37.0,16.5,185,3400,female,Adelie
Dream,36.0,17.8,195,3450,female,Adelie
Biscoe,40.9,13.7,214,4650,female,Gentoo
Torgersen,35.2,15.9,186,3050,female,Adelie
Dream,36.8,18.5,193,3500,female,Adelie
Dream,37.5,18.5,199,4475,male,Adelie
Torgersen,38.9,17.8,181,3625,female,Adelie
Torgersen,44.1,18.0,210,4000,male,Adelie
Biscoe,45.5,14.5,212,4750,female,Gentoo
Biscoe,41.7,14.7,210,4700,female,Gentoo
Dream,36.4,17.0,195,3325,female,Adelie
Biscoe,44.0,13.6,208,4350,female,Gentoo
Dream,46.8,16.5,189,3650,female,Chinstrap
Dream,41.1,19.0,182,3425,male,Adelie
Dream,46.6,17.8,193,3800,female,Chinstrap
Biscoe,37.9,18.6,193,2925,female,Adelie
Dream,52.0,18.1,201,4050,male,Chinstrap
Torgersen,40.3,18.0,195,3250,female,Adelie
Biscoe,37.6,19.1,194,3750,male,Adelie
Biscoe,45.7,13.9,214,4400,female,Gentoo
